stage,id,label,horizon,schedule,gate,factor,weighting,fee_mult,requested_start,total_return,cagr,max_drawdown,sharpe,avg_exposure,trades,yearly
stress,m612_50_50_month_start_3_top2_majority_below_ma120_liq15_trend10_inverse_vol,6月50%+12月50%｜月初第3日 Top2｜2/3指数低于MA120空仓｜流动性15%+趋势质量10%｜inverse_vol,m612_50_50,month_start_3,majority_below_ma120,liq15_trend10,inverse_vol,1.0,2021-07-10,2.11183647407584,0.2553913763680191,-0.1673331036802349,1.1089645442617653,0.34703766633266564,64,"{""2021"": 0.08422642059786134, ""2022"": 0.057644689777054836, ""2023"": 0.054325422402274226, ""2024"": 0.03784847025549687, ""2025"": 0.5338469702498168, ""2026"": 0.64140113927507}"
stress,m612_50_50_month_start_3_top2_majority_below_ma120_liq15_trend10_inverse_vol,6月50%+12月50%｜月初第3日 Top2｜2/3指数低于MA120空仓｜流动性15%+趋势质量10%｜inverse_vol,m612_50_50,month_start_3,majority_below_ma120,liq15_trend10,inverse_vol,2.0,2021-07-10,2.024984725530505,0.24829158119781414,-0.16833109511458177,1.0840855580094104,0.3470530948913192,64,"{""2021"": 0.08190110201867284, ""2022"": 0.05321188608059879, ""2023"": 0.049906530429509655, ""2024"": 0.03024993332660042, ""2025"": 0.5235188269702957, ""2026"": 0.6354246881523304}"
stress,m612_50_50_month_start_3_top2_majority_below_ma120_liq15_trend10_inverse_vol,6月50%+12月50%｜月初第3日 Top2｜2/3指数低于MA120空仓｜流动性15%+趋势质量10%｜inverse_vol,m612_50_50,month_start_3,majority_below_ma120,liq15_trend10,inverse_vol,1.0,2022-01-04,1.8700983622589837,0.2634158651403786,-0.1673331036802349,1.1434844417203853,0.3498168498168498,58,"{""2022"": 0.05764468977705506, ""2023"": 0.05432542240227445, ""2024"": 0.03784847025549687, ""2025"": 0.5338469702498168, ""2026"": 0.6414011392750696}"
stress,m612_50_50_month_start_3_top2_majority_below_ma120_liq15_trend10_inverse_vol,6月50%+12月50%｜月初第3日 Top2｜2/3指数低于MA120空仓｜流动性15%+趋势质量10%｜inverse_vol,m612_50_50,month_start_3,majority_below_ma120,liq15_trend10,inverse_vol,2.0,2022-01-04,1.7959900585056388,0.2561074689259428,-0.16833109511458189,1.1178122636209247,0.3498168498168498,58,"{""2022"": 0.05321188608059879, ""2023"": 0.04990653042950988, ""2024"": 0.030249933326600642, ""2025"": 0.5235188269702951, ""2026"": 0.6354246881523307}"
stress,m612_50_50_month_start_3_top2_majority_below_ma120_liq15_trend10_inverse_vol,6月50%+12月50%｜月初第3日 Top2｜2/3指数低于MA120空仓｜流动性15%+趋势质量10%｜inverse_vol,m612_50_50,month_start_3,majority_below_ma120,liq15_trend10,inverse_vol,1.0,2023-01-03,1.7136697134686925,0.32869983813789583,-0.16733310368023468,1.2487778666530749,0.42,50,"{""2023"": 0.05432542240227378, ""2024"": 0.03784847025549709, ""2025"": 0.5338469702498172, ""2026"": 0.64140113927507}"
stress,m612_50_50_month_start_3_top2_majority_below_ma120_liq15_trend10_inverse_vol,6月50%+12月50%｜月初第3日 Top2｜2/3指数低于MA120空仓｜流动性15%+趋势质量10%｜inverse_vol,m612_50_50,month_start_3,majority_below_ma120,liq15_trend10,inverse_vol,2.0,2023-01-03,1.6547270264016678,0.32041915058004755,-0.16833109511458189,1.2239349335222265,0.42,50,"{""2023"": 0.04990653042950988, ""2024"": 0.03024993332660042, ""2025"": 0.5235188269702955, ""2026"": 0.6354246881523307}"
stress,m612_70_30_month_start_3_top2_majority_below_ma120_liq20_trend0_equal,6月70%+12月30%｜月初第3日 Top2｜2/3指数低于MA120空仓｜流动性20%｜equal,m612_70_30,month_start_3,majority_below_ma120,liq20_trend0,equal,1.0,2021-07-10,2.110638350899914,0.25529451864289365,-0.16875131625752393,1.1141573028854428,0.34706209189745196,62,"{""2021"": 0.07730807136043816, ""2022"": 0.061367994249649005, ""2023"": 0.05712052477460694, ""2024"": 0.04439384984897421, ""2025"": 0.5478282408544315, ""2026"": 0.6169844331488488}"
stress,m612_70_30_month_start_3_top2_majority_below_ma120_liq20_trend0_equal,6月70%+12月30%｜月初第3日 Top2｜2/3指数低于MA120空仓｜流动性20%｜equal,m612_70_30,month_start_3,majority_below_ma120,liq20_trend0,equal,2.0,2021-07-10,2.0262092195142962,0.2483928050334887,-0.16963903297885707,1.0897968783212157,0.3470766385774559,62,"{""2021"": 0.07506190195622753, ""2022"": 0.05691958542796649, ""2023"": 0.05268991796013056, ""2024"": 0.0367473913689258, ""2025"": 0.5381039190237267, ""2026"": 0.6115419023447031}"
stress,m612_70_30_month_start_3_top2_majority_below_ma120_liq20_trend0_equal,6月70%+12月30%｜月初第3日 Top2｜2/3指数低于MA120空仓｜流动性20%｜equal,m612_70_30,month_start_3,majority_below_ma120,liq20_trend0,equal,1.0,2022-01-04,1.8874176603650246,0.2651026478513909,-0.16875131625752404,1.156173565160741,0.3498168498168498,56,"{""2022"": 0.061367994249649005, ""2023"": 0.05712052477460672, ""2024"": 0.04439384984897443, ""2025"": 0.5478282408544315, ""2026"": 0.6169844331488483}"
stress,m612_70_30_month_start_3_top2_majority_below_ma120_liq20_trend0_equal,6月70%+12月30%｜月初第3日 Top2｜2/3指数低于MA120空仓｜流动性20%｜equal,m612_70_30,month_start_3,majority_below_ma120,liq20_trend0,equal,2.0,2022-01-04,1.8149162518062272,0.2579881286917083,-0.16963903297885718,1.13100562035863,0.3498168498168498,56,"{""2022"": 0.05691958542796649, ""2023"": 0.05268991796013056, ""2024"": 0.03674739136892602, ""2025"": 0.5381039190237269, ""2026"": 0.6115419023447028}"
