stage,id,label,horizon,schedule,top_n,gate,factor,weighting,fee_mult,requested_start,actual_start,end,total_return,cagr,max_drawdown,sharpe,avg_exposure,trades,yearly
broad,m36_month_start_3_top2_no_gate_base_equal,3月50%+6月50%｜月初第3日 Top2｜无闸门｜纯动量｜equal,m36,month_start_3,2,no_gate,base,equal,1.0,2021-07-10,2021-07-13,2026-07-10,0.3434922274296066,0.060944716966080836,-0.5161817192501263,0.3515511635807106,0.9999571678538186,136,"{""2021"": -0.13070491521859706, ""2022"": -0.3880553600491867, ""2023"": 0.060759166613064464, ""2024"": 0.038896600114034285, ""2025"": 0.5777316092719018, ""2026"": 0.4391665480386806}"
broad,m36_month_start_3_top2_majority_below_ma100_base_equal,3月50%+6月50%｜月初第3日 Top2｜2/3指数低于MA100空仓｜纯动量｜equal,m36,month_start_3,2,majority_below_ma100,base,equal,1.0,2021-07-10,2021-07-13,2026-07-10,0.5157802221765146,0.08690516865944997,-0.37882966082077607,0.4874777929352263,0.3471056402542439,76,"{""2021"": 0.0006864674002655669, ""2022"": -0.07155315712287214, ""2023"": -0.14029827457476352, ""2024"": -0.04240478110633594, ""2025"": 0.27852703218662556, ""2026"": 0.574421166760249}"
broad,m36_month_start_3_top2_majority_below_ma120_base_equal,3月50%+6月50%｜月初第3日 Top2｜2/3指数低于MA120空仓｜纯动量｜equal,m36,month_start_3,2,majority_below_ma120,base,equal,1.0,2021-07-10,2021-07-13,2026-07-10,0.6366657637715321,0.10374382806880766,-0.3645500463785727,0.5523445969466705,0.3611552270311034,74,"{""2021"": -0.038796829399818544, ""2022"": -0.03655051265941156, ""2023"": -0.12943423175812807, ""2024"": -0.02946824568689188, ""2025"": 0.34946937862133143, ""2026"": 0.5744211667602488}"
broad,m36_month_start_3_top2_majority_below_ma150_base_equal,3月50%+6月50%｜月初第3日 Top2｜2/3指数低于MA150空仓｜纯动量｜equal,m36,month_start_3,2,majority_below_ma150,base,equal,1.0,2021-07-10,2021-07-13,2026-07-10,0.2994503664184789,0.05388324690150381,-0.3140168011240111,0.3458563197319392,0.34708288984912444,65,"{""2021"": -0.038796829399818544, ""2022"": -0.02979856433253647, ""2023"": -0.10136416319401831, ""2024"": 0.007921630424937876, ""2025"": 0.1787190505548284, ""2026"": 0.3256876875748127}"
broad,m36_month_start_3_top2_majority_below_ma200_base_equal,3月50%+6月50%｜月初第3日 Top2｜2/3指数低于MA200空仓｜纯动量｜equal,m36,month_start_3,2,majority_below_ma200,base,equal,1.0,2021-07-10,2021-07-13,2026-07-10,0.4530452918421555,0.07773923049853848,-0.30718391395361355,0.44360427819225107,0.3619567775490679,69,"{""2021"": -0.042350917468405136, ""2022"": 0.0, ""2023"": -0.10452223961636464, ""2024"": -0.005211194912009054, ""2025"": 0.325615571928638, ""2026"": 0.3051153583853792}"
broad,m36_month_start_3_top3_no_gate_base_equal,3月50%+6月50%｜月初第3日 Top3｜无闸门｜纯动量｜equal,m36,month_start_3,3,no_gate,base,equal,1.0,2021-07-10,2021-07-13,2026-07-10,0.8834284429849006,0.13524045600794699,-0.5149977165031882,0.5769679022252373,0.9986535153371484,179,"{""2021"": -0.07753777278450658, ""2022"": -0.40722745730333076, ""2023"": 0.26957866141613307, ""2024"": 0.08452853046091313, ""2025"": 0.6570685885071796, ""2026"": 0.5244015618456781}"
broad,m36_month_start_3_top3_majority_below_ma100_base_equal,3月50%+6月50%｜月初第3日 Top3｜2/3指数低于MA100空仓｜纯动量｜equal,m36,month_start_3,3,majority_below_ma100,base,equal,1.0,2021-07-10,2021-07-13,2026-07-10,0.8169954398611505,0.12710205447138634,-0.33591748480159966,0.6639557340561262,0.34686829499240157,109,"{""2021"": 0.017963788359650845, ""2022"": -0.056559857948335845, ""2023"": -0.1103256307744348, ""2024"": -0.06382978106882908, ""2025"": 0.4744716804226219, ""2026"": 0.5727536786703371}"
broad,m36_month_start_3_top3_majority_below_ma120_base_equal,3月50%+6月50%｜月初第3日 Top3｜2/3指数低于MA120空仓｜纯动量｜equal,m36,month_start_3,3,majority_below_ma120,base,equal,1.0,2021-07-10,2021-07-13,2026-07-10,0.9462517341798529,0.14272812885805464,-0.3139885603144208,0.7207050932263479,0.3608486321856697,109,"{""2021"": -0.02467472930821657, ""2022"": -0.026136890214682018, ""2023"": -0.0854436902877096, ""2024"": -0.04877325922643316, ""2025"": 0.5288761247289848, ""2026"": 0.5727536786703367}"
broad,m36_month_start_3_top3_majority_below_ma150_base_equal,3月50%+6月50%｜月初第3日 Top3｜2/3指数低于MA150空仓｜纯动量｜equal,m36,month_start_3,3,majority_below_ma150,base,equal,1.0,2021-07-10,2021-07-13,2026-07-10,0.577605109287441,0.09564600149576119,-0.31002385863248927,0.5198670247402025,0.34671753418758483,96,"{""2021"": -0.02467472930821657, ""2022"": -0.019784602146932784, ""2023"": -0.056686831809565574, ""2024"": -0.023077809287559536, ""2025"": 0.3184609297181853, ""2026"": 0.3865005908436683}"
broad,m36_month_start_3_top3_majority_below_ma200_base_equal,3月50%+6月50%｜月初第3日 Top3｜2/3指数低于MA200空仓｜纯动量｜equal,m36,month_start_3,3,majority_below_ma200,base,equal,1.0,2021-07-10,2021-07-13,2026-07-10,0.6421398214891378,0.10448248236708735,-0.31385936097328015,0.5590157405398006,0.36158664799833007,104,"{""2021"": -0.027374492343417378, ""2022"": 0.0, ""2023"": -0.07409733724516587, ""2024"": -0.026312913812787553, ""2025"": 0.4017631995236792, ""2026"": 0.3638950996677497}"
